code,name,sector,enabled
000007.SZ,,,True
000008.SZ,,,True
000010.SZ,,,True
000011.SZ,,,True
000012.SZ,,,True
000014.SZ,,,True
000016.SZ,,,True
000017.SZ,,,True
000019.SZ,,,True
000020.SZ,,,True
000025.SZ,,,True
000026.SZ,,,True
000030.SZ,,,True
000036.SZ,,,True
000037.SZ,,,True
000042.SZ,,,True
000045.SZ,,,True
000048.SZ,,,True
000049.SZ,,,True
000055.SZ,,,True
000056.SZ,,,True
000058.SZ,,,True
000059.SZ,,,True
000068.SZ,,,True
000078.SZ,,,True
000090.SZ,,,True
000096.SZ,,,True
000151.SZ,,,True
000153.SZ,,,True
000159.SZ,,,True
000402.SZ,,,True
000404.SZ,,,True
000407.SZ,,,True
000409.SZ,,,True
000411.SZ,,,True
000417.SZ,,,True
000419.SZ,,,True
000421.SZ,,,True
000428.SZ,,,True
000498.SZ,,,True
000501.SZ,,,True
000503.SZ,,,True
000505.SZ,,,True
000507.SZ,,,True
000509.SZ,,,True
000510.SZ,,,True
000514.SZ,,,True
000517.SZ,,,True
000520.SZ,,,True
000521.SZ,,,True
000523.SZ,,,True
000524.SZ,,,True
000525.SZ,,,True
000526.SZ,,,True
000529.SZ,,,True
000530.SZ,,,True
000531.SZ,,,True
000532.SZ,,,True
000533.SZ,,,True
000541.SZ,,,True
000544.SZ,,,True
000545.SZ,,,True
000546.SZ,,,True
000548.SZ,,,True
000550.SZ,,,True
000551.SZ,,,True
000554.SZ,,,True
000557.SZ,,,True
000558.SZ,,,True
000560.SZ,,,True
000561.SZ,,,True
000565.SZ,,,True
000566.SZ,,,True
000567.SZ,,,True
000570.SZ,,,True
000571.SZ,,,True
000572.SZ,,,True
000573.SZ,,,True
000576.SZ,,,True
000586.SZ,,,True
000589.SZ,,,True
000590.SZ,,,True
000593.SZ,,,True
000597.SZ,,,True
000599.SZ,,,True
000600.SZ,,,True
000601.SZ,,,True
000605.SZ,,,True
000607.SZ,,,True
000610.SZ,,,True
000619.SZ,,,True
000626.SZ,,,True
000628.SZ,,,True
000631.SZ,,,True
000632.SZ,,,True
000633.SZ,,,True
000635.SZ,,,True
000637.SZ,,,True
000639.SZ,,,True
000650.SZ,,,True
000652.SZ,,,True
000655.SZ,,,True
000663.SZ,,,True
000665.SZ,,,True
000670.SZ,,,True
000676.SZ,,,True
000677.SZ,,,True
000678.SZ,,,True
000679.SZ,,,True
000690.SZ,,,True
000692.SZ,,,True
000695.SZ,,,True
000701.SZ,,,True
000702.SZ,,,True
000705.SZ,,,True
000707.SZ,,,True
000710.SZ,,,True
000712.SZ,,,True
000713.SZ,,,True
000715.SZ,,,True
000716.SZ,,,True
000717.SZ,,,True
000718.SZ,,,True
000719.SZ,,,True
000720.SZ,,,True
000721.SZ,,,True
000722.SZ,,,True
000726.SZ,,,True
000731.SZ,,,True
000735.SZ,,,True
000751.SZ,,,True
000753.SZ,,,True
000755.SZ,,,True
000756.SZ,,,True
000757.SZ,,,True
000759.SZ,,,True
000777.SZ,,,True
000779.SZ,,,True
000782.SZ,,,True
000788.SZ,,,True
000789.SZ,,,True
000790.SZ,,,True
000795.SZ,,,True
000796.SZ,,,True
000797.SZ,,,True
000798.SZ,,,True
000802.SZ,,,True
000803.SZ,,,True
000809.SZ,,,True
000812.SZ,,,True
000813.SZ,,,True
000816.SZ,,,True
000819.SZ,,,True
000822.SZ,,,True
000823.SZ,,,True
000826.SZ,,,True
000838.SZ,,,True
000848.SZ,,,True
000850.SZ,,,True
000852.SZ,,,True
000856.SZ,,,True
000859.SZ,,,True
000860.SZ,,,True
000862.SZ,,,True
000863.SZ,,,True
000868.SZ,,,True
000869.SZ,,,True
000880.SZ,,,True
000881.SZ,,,True
000882.SZ,,,True
000885.SZ,,,True
000886.SZ,,,True
000888.SZ,,,True
000889.SZ,,,True
000890.SZ,,,True
000892.SZ,,,True
000897.SZ,,,True
000900.SZ,,,True
000905.SZ,,,True
000906.SZ,,,True
000910.SZ,,,True
000911.SZ,,,True
000912.SZ,,,True
000913.SZ,,,True
000915.SZ,,,True
000919.SZ,,,True
000920.SZ,,,True
000922.SZ,,,True
000925.SZ,,,True
000926.SZ,,,True
000928.SZ,,,True
000931.SZ,,,True
000936.SZ,,,True
000948.SZ,,,True
000952.SZ,,,True
000953.SZ,,,True
000955.SZ,,,True
000957.SZ,,,True
000965.SZ,,,True
000968.SZ,,,True
000978.SZ,,,True
000985.SZ,,,True
000989.SZ,,,True
000993.SZ,,,True
001201.SZ,,,True
001202.SZ,,,True
001205.SZ,,,True
001206.SZ,,,True
001207.SZ,,,True
001208.SZ,,,True
001209.SZ,,,True
001210.SZ,,,True
001211.SZ,,,True
001212.SZ,,,True
001215.SZ,,,True
001216.SZ,,,True
001217.SZ,,,True
001218.SZ,,,True
001219.SZ,,,True
001220.SZ,,,True
001221.SZ,,,True
001222.SZ,,,True
001223.SZ,,,True
001225.SZ,,,True
001226.SZ,,,True
001227.SZ,,,True
001228.SZ,,,True
001229.SZ,,,True
001230.SZ,,,True
001231.SZ,,,True
001233.SZ,,,True
001234.SZ,,,True
001236.SZ,,,True
001238.SZ,,,True
001239.SZ,,,True
001255.SZ,,,True
001256.SZ,,,True
001257.SZ,,,True
001258.SZ,,,True
001259.SZ,,,True
001260.SZ,,,True
001266.SZ,,,True
001268.SZ,,,True
001269.SZ,,,True
001277.SZ,,,True
001278.SZ,,,True
001279.SZ,,,True
001282.SZ,,,True
001283.SZ,,,True
001285.SZ,,,True
001287.SZ,,,True
001288.SZ,,,True
001296.SZ,,,True
001298.SZ,,,True
001299.SZ,,,True
001300.SZ,,,True
001306.SZ,,,True
001308.SZ,,,True
001311.SZ,,,True
001313.SZ,,,True
001314.SZ,,,True
001316.SZ,,,True
001317.SZ,,,True
001318.SZ,,,True
001319.SZ,,,True
001322.SZ,,,True
