code,name,sector,enabled
000001.SZ,平安银行,,true
000021.SZ,深科技,,true
000034.SZ,神州数码,,true
000063.SZ,中兴通讯,,true
000066.SZ,中国长城,,true
000100.SZ,TCL科技,,true
000158.SZ,常山北明,,true
000333.SZ,美的集团,,true
000338.SZ,潍柴动力,,true
000426.SZ,兴业银锡,,true
000519.SZ,中兵红箭,,true
000547.SZ,航天发展,,true
000559.SZ,万向钱潮,,true
000564.SZ,供销大集,,true
000572.SZ,海马汽车,,true
000592.SZ,平潭发展,,true
000617.SZ,中油资本,,true
000625.SZ,长安汽车,,true
000630.SZ,铜陵有色,,true
000636.SZ,风华高科,,true
000651.SZ,格力电器,,true
000657.SZ,中钨高新,,true
000681.SZ,视觉中国,,true
000725.SZ,京东方Ａ,,true
000792.SZ,盐湖股份,,true
000818.SZ,航锦科技,,true
000831.SZ,中国稀土,,true
000858.SZ,五 粮 液,,true
000938.SZ,紫光股份,,true
000977.SZ,浪潮信息,,true
000981.SZ,山子高科,,true
000988.SZ,华工科技,,true
001309.SZ,德明利,,true
001696.SZ,宗申动力,,true
002008.SZ,大族激光,,true
002015.SZ,协鑫能科,,true
002017.SZ,东信和平,,true
002031.SZ,巨轮智能,,true
002045.SZ,国光电器,,true
002049.SZ,紫光国微,,true
002050.SZ,三花智控,,true
002065.SZ,东华软件,,true
002074.SZ,国轩高科,,true
002085.SZ,万丰奥威,,true
002094.SZ,青岛金王,,true
002104.SZ,恒宝股份,,true
002130.SZ,沃尔核材,,true
002131.SZ,利欧股份,,true
002149.SZ,西部材料,,true
002155.SZ,湖南黄金,,true
002156.SZ,通富微电,,true
002165.SZ,红 宝 丽,,true
002185.SZ,华天科技,,true
002190.SZ,成飞集成,,true
002195.SZ,岩山科技,,true
002202.SZ,金风科技,,true
002229.SZ,鸿博股份,,true
002230.SZ,科大讯飞,,true
002241.SZ,歌尔股份,,true
002261.SZ,拓维信息,,true
002265.SZ,建设工业,,true
002276.SZ,万马股份,,true
002281.SZ,光迅科技,,true
002312.SZ,川发龙蟒,,true
002335.SZ,科华数据,,true
002342.SZ,巨力索具,,true
002354.SZ,天娱数科,,true
002361.SZ,神剑股份,,true
002366.SZ,融发核电,,true
002371.SZ,北方华创,,true
002384.SZ,东山精密,,true
002400.SZ,省广集团,,true
002402.SZ,和而泰,,true
002407.SZ,多氟多,,true
002413.SZ,雷科防务,,true
002428.SZ,云南锗业,,true
002436.SZ,兴森科技,,true
002456.SZ,欧菲光,,true
002460.SZ,赣锋锂业,,true
002463.SZ,沪电股份,,true
002465.SZ,海格通信,,true
002466.SZ,天齐锂业,,true
002475.SZ,立讯精密,,true
002506.SZ,协鑫集成,,true
002537.SZ,海联金汇,,true
002553.SZ,南方精工,,true
002565.SZ,顺灏股份,,true
002570.SZ,贝因美,,true
002583.SZ,海能达,,true
002594.SZ,比亚迪,,true
002600.SZ,领益智造,,true
002602.SZ,世纪华通,,true
002607.SZ,中公教育,,true
002611.SZ,东方精工,,true
002625.SZ,光启技术,,true
002639.SZ,雪人集团,,true
002640.SZ,跨境通,,true
002657.SZ,中科金财,,true
002709.SZ,天赐材料,,true
002714.SZ,牧原股份,,true
002716.SZ,湖南白银,,true
002759.SZ,天际股份,,true
002792.SZ,通宇通讯,,true
002797.SZ,第一创业,,true
002837.SZ,英维克,,true
002851.SZ,麦格米特,,true
002916.SZ,深南电路,,true
003040.SZ,楚天龙,,true
300007.SZ,汉威科技,,true
300014.SZ,亿纬锂能,,true
300017.SZ,网宿科技,,true
300024.SZ,机器人,,true
300033.SZ,同花顺,,true
300058.SZ,蓝色光标,,true
300059.SZ,东方财富,,true
300065.SZ,海兰信,,true
300077.SZ,国民技术,,true
300085.SZ,银之杰,,true
300100.SZ,双林股份,,true
300102.SZ,乾照光电,,true
300115.SZ,长盈精密,,true
300124.SZ,汇川技术,,true
300130.SZ,新国都,,true
300136.SZ,信维通信,,true
