code,name,sector,enabled
000001.SZ,,,true
000063.SZ,,,true
000066.SZ,,,true
000158.SZ,,,true
000333.SZ,,,true
000338.SZ,,,true
000426.SZ,,,true
000519.SZ,,,true
000547.SZ,,,true
000559.SZ,,,true
000564.SZ,,,true
000572.SZ,,,true
000592.SZ,,,true
000617.SZ,,,true
000625.SZ,,,true
000651.SZ,,,true
000657.SZ,,,true
000681.SZ,,,true
000792.SZ,,,true
000818.SZ,,,true
000831.SZ,,,true
000858.SZ,,,true
000938.SZ,,,true
000977.SZ,,,true
000981.SZ,,,true
000988.SZ,,,true
001696.SZ,,,true
002008.SZ,,,true
002015.SZ,,,true
002017.SZ,,,true
002031.SZ,,,true
002050.SZ,,,true
002074.SZ,,,true
002085.SZ,,,true
002094.SZ,,,true
002104.SZ,,,true
002130.SZ,,,true
002131.SZ,,,true
002149.SZ,,,true
002155.SZ,,,true
002156.SZ,,,true
002165.SZ,,,true
002190.SZ,,,true
002195.SZ,,,true
002202.SZ,,,true
002229.SZ,,,true
002230.SZ,,,true
002241.SZ,,,true
002261.SZ,,,true
002265.SZ,,,true
002276.SZ,,,true
002281.SZ,,,true
002312.SZ,,,true
002335.SZ,,,true
002342.SZ,,,true
002354.SZ,,,true
002361.SZ,,,true
002366.SZ,,,true
002371.SZ,,,true
002384.SZ,,,true
002400.SZ,,,true
002407.SZ,,,true
002413.SZ,,,true
002428.SZ,,,true
002456.SZ,,,true
002460.SZ,,,true
002463.SZ,,,true
002465.SZ,,,true
002466.SZ,,,true
002475.SZ,,,true
002506.SZ,,,true
002537.SZ,,,true
002553.SZ,,,true
002565.SZ,,,true
002570.SZ,,,true
002583.SZ,,,true
002594.SZ,,,true
002600.SZ,,,true
002602.SZ,,,true
002607.SZ,,,true
002611.SZ,,,true
002625.SZ,,,true
002639.SZ,,,true
002640.SZ,,,true
002709.SZ,,,true
002714.SZ,,,true
002716.SZ,,,true
002759.SZ,,,true
002792.SZ,,,true
002797.SZ,,,true
002837.SZ,,,true
002851.SZ,,,true
003040.SZ,,,true
300007.SZ,,,true
300014.SZ,,,true
300017.SZ,,,true
300024.SZ,,,true
300033.SZ,,,true
300058.SZ,,,true
300059.SZ,,,true
300065.SZ,,,true
300085.SZ,,,true
300100.SZ,,,true
300115.SZ,,,true
300124.SZ,,,true
300130.SZ,,,true
300136.SZ,,,true
300170.SZ,,,true
300180.SZ,,,true
300199.SZ,,,true
300207.SZ,,,true
300251.SZ,,,true
300255.SZ,,,true
300274.SZ,,,true
300276.SZ,,,true
300308.SZ,,,true
300339.SZ,,,true
300353.SZ,,,true
300364.SZ,,,true
300377.SZ,,,true
300383.SZ,,,true
300390.SZ,,,true
300394.SZ,,,true
300395.SZ,,,true
300418.SZ,,,true
300442.SZ,,,true
300450.SZ,,,true
300458.SZ,,,true
300459.SZ,,,true
300468.SZ,,,true
300474.SZ,,,true
300475.SZ,,,true
300476.SZ,,,true
300502.SZ,,,true
300548.SZ,,,true
300570.SZ,,,true
300581.SZ,,,true
300607.SZ,,,true
300620.SZ,,,true
300638.SZ,,,true
300718.SZ,,,true
300738.SZ,,,true
300748.SZ,,,true
300750.SZ,,,true
300757.SZ,,,true
300762.SZ,,,true
300766.SZ,,,true
300773.SZ,,,true
300803.SZ,,,true
300963.SZ,,,true
301171.SZ,,,true
301236.SZ,,,true
301308.SZ,,,true
302132.SZ,,,true
600010.SH,,,true
600021.SH,,,true
600030.SH,,,true
600036.SH,,,true
600050.SH,,,true
600089.SH,,,true
600104.SH,,,true
600105.SH,,,true
600111.SH,,,true
600118.SH,,,true
600126.SH,,,true
600143.SH,,,true
600150.SH,,,true
600157.SH,,,true
600176.SH,,,true
600221.SH,,,true
600246.SH,,,true
600276.SH,,,true
600309.SH,,,true
600326.SH,,,true
600343.SH,,,true
600362.SH,,,true
600366.SH,,,true
600392.SH,,,true
600410.SH,,,true
600418.SH,,,true
600438.SH,,,true
600487.SH,,,true
600498.SH,,,true
600519.SH,,,true
600522.SH,,,true
600549.SH,,,true
600570.SH,,,true
600580.SH,,,true
600589.SH,,,true
600602.SH,,,true
600610.SH,,,true
600733.SH,,,true
600760.SH,,,true
600839.SH,,,true
600875.SH,,,true
600879.SH,,,true
600895.SH,,,true
600900.SH,,,true
600938.SH,,,true
600967.SH,,,true
600988.SH,,,true
600989.SH,,,true
601012.SH,,,true
601020.SH,,,true
601127.SH,,,true
601138.SH,,,true
601162.SH,,,true
601166.SH,,,true
601179.SH,,,true
601211.SH,,,true
601288.SH,,,true
601318.SH,,,true
601360.SH,,,true
601398.SH,,,true
601600.SH,,,true
601606.SH,,,true
601669.SH,,,true
601689.SH,,,true
601696.SH,,,true
601698.SH,,,true
601727.SH,,,true
601857.SH,,,true
601868.SH,,,true
601869.SH,,,true
601872.SH,,,true
601881.SH,,,true
601888.SH,,,true
601899.SH,,,true
601919.SH,,,true
601933.SH,,,true
601988.SH,,,true
603011.SH,,,true
603019.SH,,,true
603083.SH,,,true
603259.SH,,,true
603300.SH,,,true
603501.SH,,,true
603662.SH,,,true
603667.SH,,,true
603686.SH,,,true
603799.SH,,,true
603881.SH,,,true
603986.SH,,,true
603993.SH,,,true
688008.SH,,,true
688041.SH,,,true
688256.SH,,,true
688525.SH,,,true
688981.SH,,,true
