code,name,sector,enabled
000001.SZ,,,true
000063.SZ,,,true
000100.SZ,,,true
000333.SZ,,,true
000338.SZ,,,true
000426.SZ,,,true
000617.SZ,,,true
000625.SZ,,,true
000630.SZ,,,true
000651.SZ,,,true
000657.SZ,,,true
000725.SZ,,,true
000792.SZ,,,true
000858.SZ,,,true
000938.SZ,,,true
000977.SZ,,,true
000988.SZ,,,true
001309.SZ,,,true
002008.SZ,,,true
002049.SZ,,,true
002050.SZ,,,true
002074.SZ,,,true
002156.SZ,,,true
002202.SZ,,,true
002230.SZ,,,true
002241.SZ,,,true
002281.SZ,,,true
002371.SZ,,,true
002384.SZ,,,true
002460.SZ,,,true
002463.SZ,,,true
002466.SZ,,,true
002475.SZ,,,true
002594.SZ,,,true
002600.SZ,,,true
002602.SZ,,,true
002625.SZ,,,true
002709.SZ,,,true
002714.SZ,,,true
002837.SZ,,,true
002916.SZ,,,true
300014.SZ,,,true
300033.SZ,,,true
300059.SZ,,,true
300124.SZ,,,true
300136.SZ,,,true
300274.SZ,,,true
300308.SZ,,,true
300394.SZ,,,true
300408.SZ,,,true
300418.SZ,,,true
300433.SZ,,,true
300442.SZ,,,true
300450.SZ,,,true
300475.SZ,,,true
300476.SZ,,,true
300502.SZ,,,true
300604.SZ,,,true
300620.SZ,,,true
300750.SZ,,,true
300757.SZ,,,true
300803.SZ,,,true
300857.SZ,,,true
301308.SZ,,,true
600010.SH,,,true
600030.SH,,,true
600036.SH,,,true
600050.SH,,,true
600089.SH,,,true
600104.SH,,,true
600111.SH,,,true
600118.SH,,,true
600150.SH,,,true
600176.SH,,,true
600183.SH,,,true
600221.SH,,,true
600276.SH,,,true
600309.SH,,,true
600362.SH,,,true
600418.SH,,,true
600438.SH,,,true
600487.SH,,,true
600498.SH,,,true
600519.SH,,,true
600522.SH,,,true
600549.SH,,,true
600580.SH,,,true
600584.SH,,,true
600703.SH,,,true
600760.SH,,,true
600875.SH,,,true
600879.SH,,,true
600895.SH,,,true
600900.SH,,,true
600938.SH,,,true
600988.SH,,,true
600989.SH,,,true
601012.SH,,,true
601127.SH,,,true
601138.SH,,,true
601166.SH,,,true
601179.SH,,,true
601211.SH,,,true
601288.SH,,,true
601318.SH,,,true
601360.SH,,,true
601398.SH,,,true
601600.SH,,,true
601669.SH,,,true
601689.SH,,,true
601698.SH,,,true
601727.SH,,,true
601857.SH,,,true
601868.SH,,,true
601869.SH,,,true
601872.SH,,,true
601881.SH,,,true
601888.SH,,,true
601899.SH,,,true
601919.SH,,,true
601988.SH,,,true
603019.SH,,,true
603259.SH,,,true
603501.SH,,,true
603799.SH,,,true
603893.SH,,,true
603986.SH,,,true
603993.SH,,,true
688008.SH,,,true
688012.SH,,,true
688041.SH,,,true
688072.SH,,,true
688111.SH,,,true
688256.SH,,,true
688498.SH,,,true
688521.SH,,,true
688525.SH,,,true
688981.SH,,,true
