code,name,sector,enabled
300308.SZ,中际旭创,,true
300502.SZ,新易盛,,true
300274.SZ,阳光电源,,true
601138.SH,工业富联,,true
300750.SZ,宁德时代,,true
300476.SZ,胜宏科技,,true
688256.SH,寒武纪,,true
601899.SH,紫金矿业,,true
002050.SZ,三花智控,,true
600089.SH,特变电工,,true
600879.SH,航天电子,,true
300394.SZ,天孚通信,,true
603986.SH,兆易创新,,true
600118.SH,中国卫星,,true
002475.SZ,立讯精密,,true
300059.SZ,东方财富,,true
300475.SZ,香农芯创,,true
300136.SZ,信维通信,,true
002202.SZ,金风科技,,true
688981.SH,中芯国际,,true
601318.SH,中国平安,,true
688041.SH,海光信息,,true
000063.SZ,中兴通讯,,true
600519.SH,贵州茅台,,true
301308.SZ,江波龙,,true
600111.SH,北方稀土,,true
688008.SH,澜起科技,,true
603993.SH,洛阳钼业,,true
002460.SZ,赣锋锂业,,true
601888.SH,中国中免,,true
603799.SH,华友钴业,,true
601600.SH,中国铝业,,true
002837.SZ,英维克,,true
603019.SH,中科曙光,,true
601698.SH,中国卫通,,true
002463.SZ,沪电股份,,true
002709.SZ,天赐材料,,true
002466.SZ,天齐锂业,,true
300450.SZ,先导智能,,true
002384.SZ,东山精密,,true
600030.SH,中信证券,,true
601012.SH,隆基绿能,,true
002371.SZ,北方华创,,true
688012.SH,中微公司,,true
688525.SH,佰维存储,,true
000988.SZ,华工科技,,true
300433.SZ,蓝思科技,,true
300418.SZ,昆仑万维,,true
001309.SZ,德明利,,true
603259.SH,药明康德,,true
300014.SZ,亿纬锂能,,true
600580.SH,卧龙电驱,,true
600036.SH,招商银行,,true
601179.SH,中国西电,,true
002230.SZ,科大讯飞,,true
300803.SZ,指南针,,true
002156.SZ,通富微电,,true
600498.SH,烽火通信,,true
300604.SZ,长川科技,,true
002600.SZ,领益智造,,true
002594.SZ,比亚迪,,true
601360.SH,三六零,,true
000792.SZ,盐湖股份,,true
600362.SH,江西铜业,,true
000426.SZ,兴业银锡,,true
000977.SZ,浪潮信息,,true
300620.SZ,光库科技,,true
002602.SZ,世纪华通,,true
000725.SZ,京东方Ａ,,true
300033.SZ,同花顺,,true
000657.SZ,中钨高新,,true
688521.SH,芯原股份,,true
