code,name,sector,enabled
300308.SZ,中际旭创,,true
300502.SZ,新易盛,,true
300750.SZ,宁德时代,,true
300394.SZ,天孚通信,,true
601899.SH,紫金矿业,,true
300274.SZ,阳光电源,,true
300476.SZ,胜宏科技,,true
688256.SH,寒武纪,,true
000988.SZ,华工科技,,true
603986.SH,兆易创新,,true
002384.SZ,东山精密,,true
601138.SH,工业富联,,true
002475.SZ,立讯精密,,true
300058.SZ,蓝色光标,,true
600487.SH,亨通光电,,true
688525.SH,佰维存储,,true
300136.SZ,信维通信,,true
000547.SZ,航天发展,,true
002202.SZ,金风科技,,true
600089.SH,特变电工,,true
688008.SH,澜起科技,,true
002463.SZ,沪电股份,,true
600111.SH,北方稀土,,true
600519.SH,贵州茅台,,true
300017.SZ,网宿科技,,true
688041.SH,海光信息,,true
603993.SH,洛阳钼业,,true
600410.SH,华胜天成,,true
002131.SZ,利欧股份,,true
002594.SZ,比亚迪,,true
002281.SZ,光迅科技,,true
001309.SZ,德明利,,true
600498.SH,烽火通信,,true
301308.SZ,江波龙,,true
600522.SH,中天科技,,true
688521.SH,芯原股份,,true
300442.SZ,润泽科技,,true
601318.SH,中国平安,,true
002837.SZ,英维克,,true
300059.SZ,东方财富,,true
601869.SH,长飞光纤,,true
300475.SZ,香农芯创,,true
600105.SH,永鼎股份,,true
002460.SZ,赣锋锂业,,true
688981.SH,中芯国际,,true
600118.SH,中国卫星,,true
000657.SZ,中钨高新,,true
002506.SZ,协鑫集成,,true
600879.SH,航天电子,,true
002050.SZ,三花智控,,true
601600.SH,中国铝业,,true
300548.SZ,长芯博创,,true
600549.SH,厦门钨业,,true
300014.SZ,亿纬锂能,,true
002261.SZ,拓维信息,,true
601179.SH,中国西电,,true
300418.SZ,昆仑万维,,true
002709.SZ,天赐材料,,true
603799.SH,华友钴业,,true
002371.SZ,北方华创,,true
300857.SZ,协创数据,,true
002428.SZ,云南锗业,,true
600989.SH,宝丰能源,,true
300620.SZ,光库科技,,true
002149.SZ,西部材料,,true
002156.SZ,通富微电,,true
600875.SH,东方电气,,true
603259.SH,药明康德,,true
300757.SZ,罗博特科,,true
688313.SH,仕佳光子,,true
000792.SZ,盐湖股份,,true
600010.SH,包钢股份,,true
002195.SZ,岩山科技,,true
688498.SH,源杰科技,,true
601857.SH,中国石油,,true
600150.SH,中国船舶,,true
688012.SH,中微公司,,true
000977.SZ,浪潮信息,,true
603083.SH,剑桥科技,,true
601012.SH,隆基绿能,,true
300570.SZ,太辰光,,true
300395.SZ,菲利华,,true
603019.SH,中科曙光,,true
000338.SZ,潍柴动力,,true
600309.SH,万华化学,,true
600030.SH,中信证券,,true
002466.SZ,天齐锂业,,true
002361.SZ,神剑股份,,true
000426.SZ,兴业银锡,,true
002155.SZ,湖南黄金,,true
601868.SH,中国能建,,true
688048.SH,长光华芯,,true
600183.SH,生益科技,,true
600938.SH,中国海油,,true
600703.SH,三安光电,,true
002342.SZ,巨力索具,,true
000063.SZ,中兴通讯,,true
600276.SH,恒瑞医药,,true
600036.SH,招商银行,,true
601872.SH,招商轮船,,true
